date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:42	75/75	---MCZ	200	added ('OK')	text/plain	date:Sat,%2001%20Aug%202026%2001:45:41%20GMT	https://www.heartavenueassociation.com/robots.txt		(from )
20:45:42	97529/97529	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:42%20GMT	https://www.heartavenueassociation.com/	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/index.html	(from )
20:45:43	7227/7227	---MCZ	200	added ('OK')	text/xml	date:Sat,%2001%20Aug%202026%2001:36:19%20GMT	https://www.heartavenueassociation.com/sitemap.xml	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/sitemap.xml	(from https://www.heartavenueassociation.com/)
20:45:44	58425/58425	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:45:44%20GMT	https://www.heartavenueassociation.com/www.webador.pl	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/www.webador.1.delayed	(from https://www.heartavenueassociation.com/)
20:45:45	58441/58441	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:45:45%20GMT	https://www.heartavenueassociation.com/www.webador.com.au	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/www.webador.com.2.delayed	(from https://www.heartavenueassociation.com/)
20:45:45	4971/4971	---M--	200	added ('OK')	image/png	etag:%22L9ANM+Yasm8WPt62z/ChR/3bVqm4OdYBABryMSf2mn0%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/touch-icon-iphone.png?bust=1782637990	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/touch-icon-iphonec0ca.png	(from https://www.heartavenueassociation.com/)
20:45:45	7158/7158	---M--	200	added ('OK')	image/png	etag:%22DpG7sEQFj7Gq2w8lWSHYH6H7dFKcZ7gKFh2sL6hHQnc%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/touch-icon-ipad.png?bust=1782637990	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/touch-icon-ipadc0ca.png	(from https://www.heartavenueassociation.com/)
20:45:46	14508/14508	---M--	200	added ('OK')	image/png	etag:%220saPZVGaNTs1gMyn9lXLKJ4mAUAKK6HVb1W34EtB6Ow%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/touch-icon-iphone-retina.png?bust=1782637990	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/touch-icon-iphone-retinac0ca.png	(from https://www.heartavenueassociation.com/)
20:45:46	21319/21319	---M--	200	added ('OK')	image/png	etag:%228OeLHZbJKn2y8+xsObczEM7n5FhwLkAl7X5RizKj1xE%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/touch-icon-ipad-retina.png?bust=1782637990	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/touch-icon-ipad-retinac0ca.png	(from https://www.heartavenueassociation.com/)
20:45:46	3522/3522	---M--	200	added ('OK')	image/png	etag:%22+ZyEj8jf0knquXMNlZAeWQM0OdYLk9XCg0aaVSBb+jo%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/favicon.png?bust=1782637990	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/faviconc0ca.png	(from https://www.heartavenueassociation.com/)
